...1,year,index,SEup,SElo,timeseries_original,metric,timeseries
1,2003,26.8789553897191,28.8888357966585,24.8690749827796,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
2,2004,27.6037528117924,28.7057613872462,26.5017442363386,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
3,2005,28.4053483094611,30.3036429166235,26.5070537022988,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
4,2006,29.6726481285073,31.3807283781122,27.9645678789024,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
5,2007,29.9848630453372,31.3084015859151,28.6613245047594,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
6,2008,29.5659055172716,31.2477675759587,27.8840434585845,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
7,2009,30.9718613440067,32.417574134385,29.5261485536285,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
8,2010,30.8039200082408,32.2655682194293,29.3422717970522,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
9,2011,30.1421976993352,31.9085904473158,28.3758049513546,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
10,2012,27.9253232071268,29.3929764787827,26.4576699354709,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
11,2013,27.644611523332,29.0314837497384,26.2577392969256,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
12,2014,29.1432989528473,30.280119749269,28.0064781564256,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
13,2015,31.4386581295991,33.1420475499298,29.7352687092684,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
14,2016,28.8600013489818,30.0171564149188,27.7028462830449,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
15,2017,29.4278597086787,31.0019761551696,27.8537432621877,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
16,2018,28.422192108398,29.7816165461838,27.0627676706123,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
17,2019,30.5234040858414,32.6118573545629,28.43495081712,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
18,2021,29.104985397966,30.7960078818718,27.4139629140602,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
19,2022,27.7747700329101,29.4262606401641,26.1232794256562,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
20,2023,29.0696436239856,30.7561186973156,27.3831685506556,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
21,2024,28.2723651644757,30.198104263267,26.3466260656845,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
22,2025,29.7829355338462,31.9993625506015,27.5665085170909,Spp Richness Coastwide,No spp per 3296 indiv,Coastwide
45,2003,24.3195755750603,26.2553047957814,22.3838463543393,Spp Richness North,No spp per 3296 indiv,North
46,2004,26.8877263082545,28.393287380246,25.3821652362629,Spp Richness North,No spp per 3296 indiv,North
47,2005,27.944167440092,30.2118939103558,25.6764409698282,Spp Richness North,No spp per 3296 indiv,North
48,2006,27.0099402465784,29.1172000035798,24.9026804895771,Spp Richness North,No spp per 3296 indiv,North
49,2007,27.3877719414927,29.3715549795793,25.4039889034062,Spp Richness North,No spp per 3296 indiv,North
50,2008,27.7909798188868,29.8387786772715,25.7431809605021,Spp Richness North,No spp per 3296 indiv,North
51,2009,28.4950897375874,30.4638977106737,26.5262817645011,Spp Richness North,No spp per 3296 indiv,North
52,2010,29.3339401612921,31.6779739833213,26.9899063392629,Spp Richness North,No spp per 3296 indiv,North
53,2011,26.7958186321746,28.5332706681388,25.0583665962104,Spp Richness North,No spp per 3296 indiv,North
54,2012,26.9407543000659,28.4638742322007,25.417634367931,Spp Richness North,No spp per 3296 indiv,North
55,2013,27.3721270169742,29.1086719005539,25.6355821333946,Spp Richness North,No spp per 3296 indiv,North
56,2014,28.1096537592083,29.9439271984804,26.2753803199362,Spp Richness North,No spp per 3296 indiv,North
57,2015,29.1019354918884,31.5750902821519,26.6287807016249,Spp Richness North,No spp per 3296 indiv,North
58,2016,27.8022358888193,29.7884967596672,25.8159750179714,Spp Richness North,No spp per 3296 indiv,North
59,2017,27.263299486439,29.2371906440809,25.2894083287971,Spp Richness North,No spp per 3296 indiv,North
60,2018,26.7479514167355,28.7413067528944,24.7545960805765,Spp Richness North,No spp per 3296 indiv,North
61,2019,26.8350067084956,28.8427976784131,24.8272157385781,Spp Richness North,No spp per 3296 indiv,North
62,2021,26.6484212068171,28.9170409014458,24.3798015121885,Spp Richness North,No spp per 3296 indiv,North
63,2022,25.2242144134588,27.0970409308011,23.3513878961165,Spp Richness North,No spp per 3296 indiv,North
64,2023,26.5588874202153,29.2458797182939,23.8718951221366,Spp Richness North,No spp per 3296 indiv,North
65,2024,24.2230636276657,25.536565644034,22.9095616112974,Spp Richness North,No spp per 3296 indiv,North
66,2025,26.4276219864363,28.6521626842622,24.2030812886104,Spp Richness North,No spp per 3296 indiv,North
89,2003,29.121635870133,32.5045354609924,25.7387362792735,Spp Richness South,No spp per 3296 indiv,South
90,2004,28.2311777269013,29.9903875598531,26.4719678939494,Spp Richness South,No spp per 3296 indiv,South
91,2005,28.8094623560558,32.0947060746124,25.5242186374993,Spp Richness South,No spp per 3296 indiv,South
92,2006,32.0058707934842,34.4934706226308,29.5182709643377,Spp Richness South,No spp per 3296 indiv,South
93,2007,32.2605883953183,33.6524301594985,30.868746631138,Spp Richness South,No spp per 3296 indiv,South
94,2008,31.1212007474496,33.8313378243971,28.4110636705021,Spp Richness South,No spp per 3296 indiv,South
95,2009,33.1421556099638,35.0298692059737,31.2544420139539,Spp Richness South,No spp per 3296 indiv,South
96,2010,32.0920035863295,34.0688522558948,30.1151549167643,Spp Richness South,No spp per 3296 indiv,South
97,2011,33.0744936293895,35.6562511793637,30.4927360794152,Spp Richness South,No spp per 3296 indiv,South
98,2012,28.788060912895,31.3805497400826,26.1955720857073,Spp Richness South,No spp per 3296 indiv,South
99,2013,27.8833786184398,30.2444778551626,25.522279381717,Spp Richness South,No spp per 3296 indiv,South
100,2014,30.0490402133554,31.6030310017375,28.4950494249733,Spp Richness South,No spp per 3296 indiv,South
101,2015,33.4862331779449,35.8190034039516,31.1534629519383,Spp Richness South,No spp per 3296 indiv,South
102,2016,29.7868782184389,31.2565335565306,28.3172228803472,Spp Richness South,No spp per 3296 indiv,South
103,2017,31.3245758315822,33.6945406866457,28.9546109765188,Spp Richness South,No spp per 3296 indiv,South
104,2018,29.8892611605179,31.7964918099043,27.9820305111316,Spp Richness South,No spp per 3296 indiv,South
105,2019,33.7553967564121,36.9415729610533,30.5692205517708,Spp Richness South,No spp per 3296 indiv,South
106,2021,31.2575727274507,33.6639027370313,28.8512427178701,Spp Richness South,No spp per 3296 indiv,South
107,2022,30.0097182298101,32.5197926759797,27.4996437836405,Spp Richness South,No spp per 3296 indiv,South
108,2023,31.2697172109631,33.2970592741894,29.2423751477368,Spp Richness South,No spp per 3296 indiv,South
109,2024,31.8206034774847,34.6923253923272,28.9488815626422,Spp Richness South,No spp per 3296 indiv,South
110,2025,32.723060385713,36.2602774891716,29.1858432822544,Spp Richness South,No spp per 3296 indiv,South
