year,index,metric,timeseries_original,order,timeseries,outlier
1997,0.0042,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1998,0.0082,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1999,0.0041,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2000,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2001,0.008,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2002,0.0042,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2003,0.0074,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2004,0.2577,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2005,0.0277,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2006,0.007,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2007,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2008,0.018,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2009,0.0138,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2010,0.0311,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2011,0.0069,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2012,0.0207,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2013,0.01,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2014,0.8722,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2015,0.0284,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2016,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2017,0.0112,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2018,0.163,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2019,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2020,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2021,0.0046,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2022,0.0783,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2023,0.0666,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2024,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1997,3.2568,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
1998,3.1862,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
1999,0.4944,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2000,0.9376,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2001,0.5256,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2002,0.7154,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2003,0.9546,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2004,0.8238,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2005,1.5066,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2006,2.3886,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2007,3.497,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2008,3.2963,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2009,1.5761,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2010,0.3502,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2011,1.3467,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2012,0.7473,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2013,0.4142,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2014,0.7519,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2015,8.7378,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,outlier
2016,0.5558,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2017,1.0049,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2018,1.0246,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2019,1.4067,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2020,1.3604,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2021,0.5421,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2022,0.8965,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2023,0.9376,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2024,0.4857,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
2025,0.6461,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
1997,0.8145,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
1998,2.2371,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,outlier
1999,0.3414,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2000,1.3384,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2001,0.484,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2002,0.2754,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2003,0.2422,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2004,0.1963,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2005,0.2887,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2006,0.3601,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2007,0.2889,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2008,0.2078,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2009,0.4978,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2010,0.1985,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2011,1.5683,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2012,0.7079,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2013,0.5525,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2014,0.3834,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2015,0.5722,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2016,0.0755,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2017,0.4228,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2018,0.2567,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2019,0.2164,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2020,0.1118,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2021,0.0665,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2022,0.0768,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2023,0.0616,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2024,0.2251,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
2025,0.0532,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,NA
1997,0.5333,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
1998,0.1019,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
1999,0.2769,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2000,1.02,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2001,0.2642,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2002,0.3239,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2003,3.663,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,outlier
2004,0.3736,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2005,0.7429,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2006,0.1757,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2007,1.0992,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2008,0.2163,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2009,0.772,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2010,3.495,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,outlier
2011,0.4588,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2012,0.7325,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2013,3.0159,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2014,0.2834,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2015,0.5217,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2016,0.07,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2017,0.4586,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2018,0.3217,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2019,1.7186,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2020,0.2928,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2021,1.3319,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2022,0.5127,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2023,0.0068,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
2024,0.0389,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,NA
1997,0.2457,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
1998,0.2474,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
1999,0.0554,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2000,0.1608,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2001,0.2834,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2002,0.2316,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2003,0.2351,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2004,0.3039,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2005,1.5765,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2006,0.41,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2007,2.1741,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2008,0.7746,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2009,3.0754,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,outlier
2010,0.2676,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2011,0.9496,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2012,0.3324,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2013,0.1481,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2014,0.6827,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2015,1.145,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2016,0.7885,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2017,0.286,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2018,0.2486,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2019,0.4288,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2020,0.691,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2021,0.2346,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2022,0.2796,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2023,0.4554,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2024,0.2764,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
2025,0.3416,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,NA
