year,index,metric,order,timeseries,outlier
1994,0.007,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1995,0.003,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1996,0.002,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1997,0.01,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1998,0.01,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1999,0.005,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2000,0,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2001,0.017,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2002,0.004,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2003,0.007,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2004,0.177,Encounter rate,1,Cassins auklet encounter rate (Ce CC),outlier
2005,0.026,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2006,0.011,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2007,0.004,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2008,0.004,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2009,0.003,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2010,0.008,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2011,0.007,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2012,0.001,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2013,0.007,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2014,0.989,Encounter rate,1,Cassins auklet encounter rate (Ce CC),outlier
2015,0.016,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2016,0,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2017,0.008,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2018,0.02,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2019,0.002,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2020,0.01,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2021,0.001,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
2022,0.116,Encounter rate,1,Cassins auklet encounter rate (Ce CC),outlier
2023,0.183,Encounter rate,1,Cassins auklet encounter rate (Ce CC),outlier
2024,0.001,Encounter rate,1,Cassins auklet encounter rate (Ce CC),NA
1994,0.13,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1995,0.598,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1996,0.174,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1997,0.532,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1998,0.417,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1999,0.177,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2000,0.204,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2001,0.273,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2002,0.3,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2003,0.301,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2004,0.24,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2005,0.427,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2006,0.645,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2007,0.86,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2008,1.025,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2009,0.355,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2010,0.13,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2011,0.353,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2012,0.253,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2013,0.172,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2014,0.284,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2015,2.844,Encounter rate,2,Common murre encounter rate(Ce CC),outlier
2016,0.231,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2017,0.479,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2018,0.426,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2019,0.667,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2020,0.604,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2021,0.271,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2022,0.587,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2023,0.426,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2024,0.254,Encounter rate,2,Common murre encounter rate(Ce CC),NA
2025,0.324,Encounter rate,2,Common murre encounter rate(Ce CC),NA
1994,0.006,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1995,0.016,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1996,0.026,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1997,0.034,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1998,0.082,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1999,0.033,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2000,0.051,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2001,0.01,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2002,0.008,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2003,0.009,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2004,0.005,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2005,0.025,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2006,0.021,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2007,0.009,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2008,0.021,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2009,0.019,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2010,0.005,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2011,0.005,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2012,0.041,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2013,0.038,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2014,0.015,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2015,0.069,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2016,0.01,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2017,0.031,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2018,0.022,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2019,0.038,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2020,0.073,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2021,0.019,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2022,0.024,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2023,0.033,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2024,0.036,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
2025,0.04,Encounter rate,3,Sooty shearwater encounter rate (Ce CC),NA
1994,0.017,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1995,0.172,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1996,0.02,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1997,0.312,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1998,0.031,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1999,0.103,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2000,0.584,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2001,0.026,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2002,0.328,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2003,1.477,Encounter rate,4,Northern fulmar encounter rate (Ce CC),outlier
2004,0.084,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2005,0.309,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2006,0.047,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2007,0.321,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2008,0.054,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2009,0.171,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2010,0.821,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2011,0.037,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2012,0.206,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2013,0.2,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2014,0.107,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2015,0.043,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2016,0.065,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2017,0.157,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2018,0.08,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2019,0.265,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2020,0.075,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2021,0.612,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2022,0.27,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2023,0.051,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
2024,0.094,Encounter rate,4,Northern fulmar encounter rate (Ce CC),NA
1994,0.04,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
1995,0.12,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
1996,0.064,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
1997,0.054,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
1998,0.046,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
1999,0.03,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2000,0.04,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2001,0.056,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2002,0.07,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2003,0.063,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2004,0.049,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2005,0.159,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2006,0.067,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2007,0.204,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2008,0.172,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2009,0.471,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2010,0.045,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2011,0.168,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2012,0.09,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2013,0.034,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2014,0.098,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2015,0.217,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2016,0.051,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2017,0.074,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2018,0.062,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2019,0.065,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2020,0.244,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2021,0.087,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2022,0.12,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2023,0.118,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2024,0.125,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
2025,0.144,Encounter rate,5,Brandts cormorant encounter rate (Ce CC),NA
