"time","index","stdev","SEup","SElo","location","timeseries"
2013-05-13,1849.3,"939.57","1976.35","1722.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-05-29,123.67,"68.71","136.38","110.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-06-18,997.83,"353.79","1045.89","949.78","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-06-26,1021.45,"438.33","1082.4","960.5","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-07-17,3161.54,"1117.62","3309.33","3013.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-07-23,17.43,"16.3","21.17","13.69","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-08-05,233.73,"123.27","267.85","199.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-08-26,1865.47,"922.81","1995.97","1734.96","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-09-12,1385.63,"387.79","1441.28","1329.98","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-10-15,1005.12,"336.49","1048","962.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-10-24,836.66,"479.4","911.41","761.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2013-11-12,114.34,"37.51","128.52","100.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-01-02,57.32,"34.99","66.5","48.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-01-16,265.97,"143.54","288.06","243.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-02-24,280,"76.59","292.82","267.19","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-04-02,423.85,"145.29","444.29","403.42","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-04-28,2302.64,"638.62","2389.14","2216.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-06-12,1756.18,"551.7","1838.53","1673.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-07-15,562.27,"391.26","698.04","426.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-08-28,252.99,"309.17","362.3","143.68","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-09-16,185.5,"212.92","229.93","141.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2014-10-27,400.47,"148.04","437.2","363.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-01-05,200.31,"62.29","209.14","191.48","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-01-13,83.8,"25.66","88.43","79.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-02-13,52.04,"7.71","55.09","48.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-03-10,690.11,"146.81","709.9","670.31","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-04-27,1513.95,"716.2","1615.72","1412.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-05-13,1033.36,"767.34","1132.02","934.7","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-08-02,155.68,"67.43","172.7","138.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-08-11,846.38,"627.1","941.32","751.44","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-09-15,395.45,"281.85","432.92","357.99","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-10-19,407.93,"212.87","440.51","375.34","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2015-11-22,222.3,"85.34","233.75","210.85","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-01-24,57.65,"25.44","62.64","52.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-02-09,33.01,"17.74","36.98","29.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-03-18,39.92,"22.53","51.46","28.37","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-04-19,224.85,"167.29","252.72","196.98","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-05-12,671.91,"521.97","745.73","598.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-06-14,358.64,"181.8","408.53","308.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-07-18,914.27,"600.21","1016.21","812.32","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-08-29,352.48,"293.86","424.31","280.64","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-09-14,633.24,"335.37","680.67","585.81","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-11-21,354.83,"209.42","384.44","325.21","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2016-12-13,279.47,"132.83","298.77","260.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-01-27,303.32,"127.39","321.33","285.3","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-02-13,153.34,"42.33","159.58","147.11","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-04-04,108.9,"74.52","120.05","97.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-04-25,911.76,"532.96","996.02","827.49","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-05-30,778.72,"317.13","823.79","733.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-07-05,701.35,"262.29","740.24","662.45","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-09-05,231.11,"83.58","249.79","212.43","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-10-04,192.25,"105.39","207.15","177.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2017-12-05,987,"573.69","1068.14","905.87","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-02-08,618.54,"259","655.43","581.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-03-06,2208.23,"643.99","2300.1","2116.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-04-25,3863.25,"1065.23","4013.89","3712.6","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-06-19,957.19,"479.31","1024.72","889.67","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-07-23,486.22,"227.19","534.12","438.32","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-08-30,773.73,"241.79","810.76","736.7","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-09-26,339.32,"170.67","364.03","314.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-10-23,405.5,"298.62","447.96","363.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2018-12-04,151.67,"75.5","164.85","138.49","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-01-22,410.78,"173.33","436.22","385.34","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-02-28,309.42,"136.77","328.76","290.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-04-03,477.02,"209.37","507.06","446.97","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-04-18,63.33,"26.06","68.56","58.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-06-11,1224.27,"676.64","1319.96","1128.58","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-07-09,84.3,"36.34","98.03","70.56","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-08-19,333.66,"182.55","366.49","300.82","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-10-30,558.35,"327.67","604.74","511.97","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2019-12-03,156.31,"70.2","166.71","145.91","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-01-06,38.14,"19.35","41.33","34.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-02-19,1004,"661.98","1097.62","910.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-03-09,303.66,"77.95","314.68","292.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-06-10,5162.29,"1573.75","5384.85","4939.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-07-30,881.43,"436.57","956.26","806.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-08-20,1919.02,"692.4","2025.74","1812.3","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-09-30,4.64,"NaN","NaN","NaN","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2020-10-29,1291.61,"481.22","1359.66","1223.55","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2021-06-22,545.02,"283.64","587.3","502.74","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2021-07-27,44.69,"32.88","52.44","36.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2021-09-07,1662.57,"777.71","1772.55","1552.58","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2021-11-14,802.62,"340.76","851.97","753.27","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2021-12-06,88.42,"40.78","94.58","82.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-01-17,257.01,"113.05","272.99","241.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-02-13,653.82,"236.85","687.32","620.33","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-03-17,580.63,"164.01","605.16","556.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-04-14,468.1,"265.83","509.44","426.76","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-05-18,160.34,"96.28","177.6","143.08","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-07-08,197.52,"98.46","211.66","183.38","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-08-22,132.59,"78.12","157.41","107.77","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-09-12,983.55,"399.45","1047.96","919.13","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-10-16,253.43,"106.24","268.92","237.93","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-11-10,39.77,"20.73","47.22","32.33","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2022-12-06,103.91,"39.16","111.59","96.22","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-02-09,460.3,"200.62","488.68","431.93","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-03-17,981.26,"227.28","1026.72","935.81","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-04-04,65.94,"45.45","76.65","55.23","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-05-10,2007.91,"1372.74","2202.04","1813.77","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-06-08,207.4,"167.17","231.6","183.2","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-07-09,647.54,"246.58","702.44","592.64","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-08-09,1334,"610.49","1427.63","1240.37","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-09-22,1039.74,"472.79","1106.42","973.06","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-10-31,335.61,"175.11","364.42","306.81","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2023-11-29,52.64,"21.23","57.45","47.82","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-03-08,22.46,"10.54","26.86","18.05","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-04-19,89.5,"41.1","97.08","81.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-05-24,710.18,"220.71","746.91","673.45","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-07-05,174.8,"103.58","221.13","128.48","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-08-01,1046.73,"446.17","1120.9","972.56","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2024-09-04,129.99,"95.18","170.95","89.03","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) adult mean biomass"
2007-11-08,2585.21,"809.58","121.282329011251","2463.93","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2007-12-11,54.61,"13","3.57513865288031","51.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-02-17,206.03,"76.73","11.2571305829505","194.78","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-03-05,1301.75,"431.22","62.3841993685025","1239.36","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-04-22,0.51,"0.14","0.0589347775035894","0.45","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-05-16,118.6,"42.14","7.64422449399668","110.96","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-06-20,3642.04,"1186.55","158.538612628777","3483.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-09-16,1243.51,"539.72","101.473765910532","1142.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2008-10-28,584.8,"194.12","28.8688953265379","555.93","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-01-14,157.42,"57.13","8.81157706756909","148.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-02-17,3838.98,"1381.52","201.243766923035","3637.74","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-03-19,1900.14,"622","88.9305569029304","1811.21","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-04-21,1811.43,"410.43","55.6618344171658","1755.77","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-06-01,1849.82,"365.74","54.2247747940029","1795.59","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-08-04,1408.55,"681.2","105.037754990409","1303.51","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-09-14,4216.02,"2732.34","499.732836014718","3716.28","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2009-10-29,2157.7,"935","151.199537373931","2006.5","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2010-01-31,485.37,"172.23","30.2055021337885","455.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2010-02-18,271.82,"106.42","21.5060199074562","250.31","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2010-04-13,56.7,"23.19","7.45099532468118","49.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2010-12-10,449.05,"245.29","44.6399201786215","404.41","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-02-20,121.7,"42.64","6.592618781569","115.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-04-16,1.6,"0.79","0.456852332877857","1.15","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-05-27,526.09,"197.92","34.6105938785745","491.48","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-06-28,1397.3,"589.46","79.2100741763482","1318.09","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-07-14,694.55,"344.78","47.4275111344216","647.13","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-08-02,2101.75,"590.95","102.470673745202","1999.27","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-09-12,468.64,"274.35","59.3971189049263","409.24","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-09-29,0.62,"0.15","0.0567079593811067","0.56","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-10-10,1466.67,"550.74","112.066377254342","1354.6","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-10-30,11.83,"2.61","0.665250176108628","11.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-11-15,1245.01,"438.35","82.1349756071529","1162.87","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2011-12-06,674.38,"358.4","73.5537537340431","600.82","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-01-29,1159.35,"421.54","64.7107323655555","1094.64","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-02-21,1557.21,"455.59","69.3056658208463","1487.91","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-03-08,207.33,"74.47","11.065921487864","196.26","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-04-05,145.75,"64.7","11.3168395019327","134.44","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-04-19,108.68,"44.79","8.10032115303481","100.58","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-05-22,2301.18,"539.26","92.4547118580456","2208.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-06-05,41.47,"17.98","4.20571317911524","37.27","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-06-24,56.71,"30.8","9.66882476746117","47.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-08-04,324.6,"150.96","28.0387051096922","296.56","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-09-06,569.85,"222.67","53.8181829457819","516.03","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-09-21,1391,"534.37","138.395447158362","1252.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-10-22,1237.92,"899.02","205.151418960263","1032.77","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-11-26,763.97,"461.91","82.8208276071908","681.15","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2012-12-14,128.06,"80.9","14.9701171456843","113.09","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-01-16,474.07,"319.71","57.9205044037499","416.14","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-02-15,363.55,"217.77","31.3476735102609","332.2","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-03-11,81.32,"11.62","2.99715132032108","78.32","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-05-06,628.92,"293.75","40.6467486356135","588.27","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-05-13,1927.19,"1025.44","161.788460734657","1765.4","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-05-29,177.76,"101.73","19.2289525630558","158.53","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-06-18,1025.82,"401.32","61.7875537975237","964.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-06-26,1031.34,"444.8","63.8086873447106","967.53","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-07-17,3208.07,"1136.55","153.151454498869","3054.92","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-07-23,23.37,"21.18","4.71517892049047","18.65","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-08-05,246.25,"124.73","34.6236911696132","211.62","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-08-26,1992.93,"1010.06","149.350602337086","1843.58","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-09-12,1411.46,"401.52","60.3272729556298","1351.13","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-10-15,1048.99,"387.01","52.8442696336527","996.15","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-10-24,1210.64,"632.35","104.375761686241","1106.26","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2013-11-12,141.55,"49.22","13.4183442904685","128.13","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-01-02,103.98,"64.84","15.2324283197422","88.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-01-16,295.88,"157.63","25.3486266868034","270.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-02-24,292.37,"87.04","16.9695766840469","275.4","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-04-02,428.59,"148.82","21.8771328840848","406.71","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-04-28,2306.15,"639.77","86.9835224256117","2219.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-06-12,1795.49,"574.95","87.968798282469","1707.52","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-07-15,1174,"654.12","189.564812766461","984.43","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-08-28,700.23,"491.89","149.006047044291","551.22","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-09-16,357.69,"282.14","58.5131341013023","299.18","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2014-10-27,902.42,"315.68","71.0734425147868","831.35","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
2015-01-05,205.97,"65.88","10.1102798678296","195.86","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) total mean biomass"
