GEO_ID2,year,index,latitude,longitude,STATE,MAPNAME,timeseries
4103150,2009,Medium,46.1872632,-123.8145715,OR,Astoria,"Astoria, OR"
4103150,2010,Medium,46.1872632,-123.8145715,OR,Astoria,"Astoria, OR"
4103150,2011,Medium,46.1872632,-123.8145715,OR,Astoria,"Astoria, OR"
4103150,2012,Medium High,46.18726,-123.81457,OR,Astoria,"Astoria, OR"
4103150,2013,Medium,46.1872632,-123.8145715,OR,Astoria,"Astoria, OR"
4103150,2014,Medium,46.18726,-123.81457,OR,Astoria,"Astoria, OR"
4103150,2015,Medium,46.18726,-123.81457,OR,Astoria,"Astoria, OR"
4103150,2016,Medium,46.1873684,-123.8149707,OR,Astoria,"Astoria, OR"
4103150,2017,Low,46.1873684,-123.8149707,OR,Astoria,"Astoria, OR"
4103150,2018,Low,46.1873754,-123.8150727,OR,Astoria,"Astoria, OR"
4103150,2019,Low,46.187375,-123.815073,OR,Astoria,"Astoria, OR"
4103150,2020,Medium,46.187375,-123.815073,OR,Astoria,"Astoria, OR"
4103150,2021,Medium,46.187375,-123.815073,OR,Astoria,"Astoria, OR"
4103150,2022,Medium,46.187375,-123.815073,OR,Astoria,"Astoria, OR"
4105200,2009,Medium High,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2010,High,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2011,High,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2012,Low,45.27901,-123.82462,OR,Beaver,"Beaver, OR"
4105200,2013,Low,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2014,Medium,45.27901,-123.82462,OR,Beaver,"Beaver, OR"
4105200,2015,Low,45.27901,-123.82462,OR,Beaver,"Beaver, OR"
4105200,2016,Low,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2017,Low,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2018,Medium High,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2019,Medium,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2020,Medium,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2021,Low,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4105200,2022,Medium High,45.27901,-123.824616,OR,Beaver,"Beaver, OR"
4108650,2009,Medium,42.0596517,-124.2920429,OR,Brookings,"Brookings, OR"
4108650,2010,Medium,42.0689004,-124.2999485,OR,Brookings,"Brookings, OR"
4108650,2011,Medium,42.0689004,-124.2999485,OR,Brookings,"Brookings, OR"
4108650,2012,Low,42.0689,-124.29995,OR,Brookings,"Brookings, OR"
4108650,2013,Medium,42.0689004,-124.2999485,OR,Brookings,"Brookings, OR"
4108650,2014,Low,42.0689,-124.29995,OR,Brookings,"Brookings, OR"
4108650,2015,Low,42.0689,-124.29995,OR,Brookings,"Brookings, OR"
4108650,2016,Medium,42.0689004,-124.2999485,OR,Brookings,"Brookings, OR"
4108650,2017,Medium,42.0724082,-124.3049086,OR,Brookings,"Brookings, OR"
4108650,2018,Low,42.0724082,-124.3049086,OR,Brookings,"Brookings, OR"
4108650,2019,Medium,42.072408,-124.304909,OR,Brookings,"Brookings, OR"
4108650,2020,Low,42.072408,-124.304909,OR,Brookings,"Brookings, OR"
4108650,2021,Low,42.072408,-124.304909,OR,Brookings,"Brookings, OR"
4108650,2022,Low,42.072408,-124.304909,OR,Brookings,"Brookings, OR"
4114200,2009,Medium,45.2006075,-123.8841647,OR,Cloverdale,"Cloverdale, OR"
4114200,2010,Medium,45.2006075,-123.8841647,OR,Cloverdale,"Cloverdale, OR"
4114200,2011,Medium High,45.2006075,-123.8841647,OR,Cloverdale,"Cloverdale, OR"
4114200,2012,High,45.20061,-123.88416,OR,Cloverdale,"Cloverdale, OR"
4114200,2013,Medium,45.2006075,-123.8841647,OR,Cloverdale,"Cloverdale, OR"
4114200,2014,Medium,45.20061,-123.88416,OR,Cloverdale,"Cloverdale, OR"
4114200,2015,Low,45.20061,-123.88416,OR,Cloverdale,"Cloverdale, OR"
4114200,2016,Medium,45.2006075,-123.8841646,OR,Cloverdale,"Cloverdale, OR"
4114200,2017,Low,45.2006075,-123.8841646,OR,Cloverdale,"Cloverdale, OR"
4114200,2018,Medium,45.2006075,-123.8841646,OR,Cloverdale,"Cloverdale, OR"
4114200,2019,Medium,45.200608,-123.884165,OR,Cloverdale,"Cloverdale, OR"
4114200,2020,Medium,45.200608,-123.884165,OR,Cloverdale,"Cloverdale, OR"
4114200,2021,Low,45.200608,-123.884165,OR,Cloverdale,"Cloverdale, OR"
4114200,2022,Low,45.200608,-123.884165,OR,Cloverdale,"Cloverdale, OR"
4115250,2009,Medium High,43.381159,-124.2327252,OR,Coos Bay,"Coos Bay, OR"
4115250,2010,Medium High,43.381159,-124.2327252,OR,Coos Bay,"Coos Bay, OR"
4115250,2011,Medium High,43.381159,-124.2327252,OR,Coos Bay,"Coos Bay, OR"
4115250,2012,Medium High,43.38116,-124.23273,OR,Coos Bay,"Coos Bay, OR"
4115250,2013,Medium High,43.381159,-124.2327252,OR,Coos Bay,"Coos Bay, OR"
4115250,2014,Medium High,43.38116,-124.23273,OR,Coos Bay,"Coos Bay, OR"
4115250,2015,Medium High,43.38116,-124.23273,OR,Coos Bay,"Coos Bay, OR"
4115250,2016,Medium High,43.3811257,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2017,Medium High,43.3811257,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2018,Medium High,43.3811257,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2019,Medium High,43.381126,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2020,Medium High,43.381126,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2021,Medium High,43.381126,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4115250,2022,Medium High,43.381126,-124.232597,OR,Coos Bay,"Coos Bay, OR"
4126050,2009,Medium High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2010,Medium High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2011,Medium High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2012,Medium,43.99163,-124.10646,OR,Florence,"Florence, OR"
4126050,2013,Medium High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2014,Medium High,43.99163,-124.10646,OR,Florence,"Florence, OR"
4126050,2015,Medium High,43.99163,-124.10646,OR,Florence,"Florence, OR"
4126050,2016,High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2017,High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2018,Medium High,43.9916324,-124.1064557,OR,Florence,"Florence, OR"
4126050,2019,High,43.991632,-124.106456,OR,Florence,"Florence, OR"
4126050,2020,Medium High,43.991632,-124.106456,OR,Florence,"Florence, OR"
4126050,2021,Medium High,43.991632,-124.106456,OR,Florence,"Florence, OR"
4126050,2022,Medium High,43.991632,-124.106456,OR,Florence,"Florence, OR"
4128000,2009,Medium High,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2010,Medium High,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2011,Medium High,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2012,Medium High,45.56077,-123.91134,OR,Garibaldi,"Garibaldi, OR"
4128000,2013,Medium,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2014,Medium High,45.56077,-123.91134,OR,Garibaldi,"Garibaldi, OR"
4128000,2015,Medium High,45.56077,-123.91134,OR,Garibaldi,"Garibaldi, OR"
4128000,2016,Medium High,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2017,Medium High,45.5607744,-123.9113436,OR,Garibaldi,"Garibaldi, OR"
4128000,2018,Medium,45.5607828,-123.9113502,OR,Garibaldi,"Garibaldi, OR"
4128000,2019,Medium,45.560783,-123.91135,OR,Garibaldi,"Garibaldi, OR"
4128000,2020,Medium,45.560783,-123.91135,OR,Garibaldi,"Garibaldi, OR"
4128000,2021,Medium,45.560783,-123.91135,OR,Garibaldi,"Garibaldi, OR"
4128000,2022,Low,45.560783,-123.91135,OR,Garibaldi,"Garibaldi, OR"
4152450,2009,Medium,44.6226024,-124.0491345,OR,Newport,"Newport, OR"
4152450,2010,Medium High,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2011,Medium High,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2012,Medium High,44.62087,-124.04304,OR,Newport,"Newport, OR"
4152450,2013,Medium,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2014,Medium,44.62087,-124.04304,OR,Newport,"Newport, OR"
4152450,2015,Medium,44.62087,-124.04304,OR,Newport,"Newport, OR"
4152450,2016,Medium High,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2017,Medium High,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2018,Medium,44.6208693,-124.043041,OR,Newport,"Newport, OR"
4152450,2019,Medium High,44.620869,-124.043041,OR,Newport,"Newport, OR"
4152450,2020,Medium High,44.620869,-124.043041,OR,Newport,"Newport, OR"
4152450,2021,Medium,44.620869,-124.043041,OR,Newport,"Newport, OR"
4152450,2022,Medium High,44.620869,-124.043041,OR,Newport,"Newport, OR"
4159250,2009,Medium High,42.7492601,-124.4970166,OR,Port Orford,"Port Orford, OR"
4159250,2010,Medium High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2011,Medium High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2012,High,42.74928,-124.49812,OR,Port Orford,"Port Orford, OR"
4159250,2013,High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2014,High,42.74928,-124.49812,OR,Port Orford,"Port Orford, OR"
4159250,2015,High,42.74928,-124.49812,OR,Port Orford,"Port Orford, OR"
4159250,2016,High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2017,High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2018,High,42.7492759,-124.4981176,OR,Port Orford,"Port Orford, OR"
4159250,2019,High,42.749276,-124.498118,OR,Port Orford,"Port Orford, OR"
4159250,2020,High,42.749276,-124.498118,OR,Port Orford,"Port Orford, OR"
4159250,2021,High,42.749276,-124.498118,OR,Port Orford,"Port Orford, OR"
4159250,2022,Medium High,42.749276,-124.498118,OR,Port Orford,"Port Orford, OR"
4173700,2009,Medium High,45.4562341,-123.8390756,OR,Tillamook,"Tillamook, OR"
4173700,2010,High,45.4560132,-123.8354738,OR,Tillamook,"Tillamook, OR"
4173700,2011,High,45.4560132,-123.8354738,OR,Tillamook,"Tillamook, OR"
4173700,2012,Medium High,45.45601,-123.83547,OR,Tillamook,"Tillamook, OR"
4173700,2013,Medium High,45.4560132,-123.8354738,OR,Tillamook,"Tillamook, OR"
4173700,2014,High,45.45601,-123.83547,OR,Tillamook,"Tillamook, OR"
4173700,2015,High,45.45601,-123.83547,OR,Tillamook,"Tillamook, OR"
4173700,2016,Medium High,45.4561243,-123.8332254,OR,Tillamook,"Tillamook, OR"
4173700,2017,High,45.4561243,-123.8332254,OR,Tillamook,"Tillamook, OR"
4173700,2018,Medium High,45.4561227,-123.8331455,OR,Tillamook,"Tillamook, OR"
4173700,2019,Medium High,45.456123,-123.833145,OR,Tillamook,"Tillamook, OR"
4173700,2020,Medium High,45.456123,-123.833145,OR,Tillamook,"Tillamook, OR"
4173700,2021,High,45.456123,-123.833145,OR,Tillamook,"Tillamook, OR"
4173700,2022,Medium High,45.456123,-123.833145,OR,Tillamook,"Tillamook, OR"
4183050,2009,Low,43.6772562,-124.1777237,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2010,Medium,43.6772562,-124.1777237,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2011,Low,43.6772562,-124.1777237,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2012,Medium High,43.67726,-124.17772,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2013,Low,43.6772562,-124.1777237,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2014,Medium,43.67726,-124.17772,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2015,Low,43.67726,-124.17772,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2016,Medium High,43.6699818,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2017,Medium,43.6699818,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2018,High,43.6699818,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2019,Medium,43.669982,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2020,Medium High,43.669982,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2021,Medium High,43.669982,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4183050,2022,High,43.669982,-124.186938,OR,Winchester Bay,"Winchester Bay, OR"
4184200,2009,Medium,44.3121375,-124.1018272,OR,Yachats,"Yachats, OR"
4184200,2010,Low,44.3121375,-124.1018272,OR,Yachats,"Yachats, OR"
4184200,2011,Low,44.3121375,-124.1018272,OR,Yachats,"Yachats, OR"
4184200,2012,Low,44.31214,-124.10183,OR,Yachats,"Yachats, OR"
4184200,2013,Medium,44.3121375,-124.1018272,OR,Yachats,"Yachats, OR"
4184200,2014,Medium,44.31214,-124.10183,OR,Yachats,"Yachats, OR"
4184200,2015,Medium High,44.31214,-124.10183,OR,Yachats,"Yachats, OR"
4184200,2016,High,44.311758,-124.1013919,OR,Yachats,"Yachats, OR"
4184200,2017,Medium High,44.311758,-124.1013919,OR,Yachats,"Yachats, OR"
4184200,2018,Low,44.311758,-124.1013919,OR,Yachats,"Yachats, OR"
4184200,2019,Medium High,44.311758,-124.101392,OR,Yachats,"Yachats, OR"
4184200,2020,Medium High,44.311758,-124.101392,OR,Yachats,"Yachats, OR"
4184200,2021,Medium High,44.311758,-124.101392,OR,Yachats,"Yachats, OR"
4184200,2022,Medium High,44.311758,-124.101392,OR,Yachats,"Yachats, OR"
5301990,2009,Low,48.4921265,-122.627585,WA,Anacortes,"Anacortes, WA"
5301990,2010,Low,48.4887249,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2011,Low,48.4887249,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2012,Low,48.48872,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2013,Low,48.4887249,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2014,Low,48.48872,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2015,Low,48.48872,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2016,Low,48.4891727,-122.6250532,WA,Anacortes,"Anacortes, WA"
5301990,2017,Low,48.4891727,-122.6250532,WA,Anacortes,"Anacortes, WA"
5301990,2018,Low,48.4891727,-122.6250532,WA,Anacortes,"Anacortes, WA"
5301990,2019,Low,48.488725,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2020,Low,48.488725,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2021,Low,48.488725,-122.62398,WA,Anacortes,"Anacortes, WA"
5301990,2022,Low,48.488725,-122.62398,WA,Anacortes,"Anacortes, WA"
5304615,2009,Low,46.6277378,-123.9550347,WA,Bay Center,"Bay Center, WA"
5304615,2010,Medium High,46.6207532,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2011,High,46.6207532,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2012,High,46.62075,-123.95318,WA,Bay Center,"Bay Center, WA"
5304615,2013,Medium High,46.6207532,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2014,High,46.62075,-123.95318,WA,Bay Center,"Bay Center, WA"
5304615,2015,Medium High,46.62075,-123.95318,WA,Bay Center,"Bay Center, WA"
5304615,2016,Medium High,46.6207533,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2017,Medium,46.6207533,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2018,High,46.6207533,-123.9531823,WA,Bay Center,"Bay Center, WA"
5304615,2019,Medium High,46.620753,-123.953182,WA,Bay Center,"Bay Center, WA"
5304615,2020,Medium High,46.620753,-123.953182,WA,Bay Center,"Bay Center, WA"
5304615,2021,Low,46.620753,-123.953182,WA,Bay Center,"Bay Center, WA"
5304615,2022,Low,46.620753,-123.953182,WA,Bay Center,"Bay Center, WA"
5305280,2009,Medium,48.746883,-122.4762947,WA,Bellingham,"Bellingham, WA"
5305280,2010,Medium,48.7526197,-122.469657,WA,Bellingham,"Bellingham, WA"
5305280,2011,Medium,48.7526197,-122.469657,WA,Bellingham,"Bellingham, WA"
5305280,2012,Medium,48.75262,-122.46966,WA,Bellingham,"Bellingham, WA"
5305280,2013,Medium,48.7526197,-122.469657,WA,Bellingham,"Bellingham, WA"
5305280,2014,Medium,48.75262,-122.46966,WA,Bellingham,"Bellingham, WA"
5305280,2015,Medium,48.75262,-122.46966,WA,Bellingham,"Bellingham, WA"
5305280,2016,Medium,48.7534421,-122.4701786,WA,Bellingham,"Bellingham, WA"
5305280,2017,Low,48.7534421,-122.4701786,WA,Bellingham,"Bellingham, WA"
5305280,2018,Low,48.7534421,-122.4701786,WA,Bellingham,"Bellingham, WA"
5305280,2019,Low,48.753442,-122.470179,WA,Bellingham,"Bellingham, WA"
5305280,2020,Low,48.753442,-122.470179,WA,Bellingham,"Bellingham, WA"
5305280,2021,Low,48.753442,-122.470179,WA,Bellingham,"Bellingham, WA"
5305280,2022,Low,48.753442,-122.470179,WA,Bellingham,"Bellingham, WA"
5312315,2009,High,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2010,High,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2011,High,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2012,Medium,46.2755,-123.94223,WA,Chinook,"Chinook, WA"
5312315,2013,Low,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2014,Low,46.2755,-123.94223,WA,Chinook,"Chinook, WA"
5312315,2015,Low,46.2755,-123.94223,WA,Chinook,"Chinook, WA"
5312315,2016,Low,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2017,Low,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2018,Low,46.275503,-123.9422333,WA,Chinook,"Chinook, WA"
5312315,2019,Low,46.275503,-123.942233,WA,Chinook,"Chinook, WA"
5312315,2020,Low,46.275503,-123.942233,WA,Chinook,"Chinook, WA"
5312315,2021,Low,46.275503,-123.942233,WA,Chinook,"Chinook, WA"
5312315,2022,Low,46.275503,-123.942233,WA,Chinook,"Chinook, WA"
5333000,2009,Medium,46.3106009,-124.0410021,WA,Ilwaco,"Ilwaco, WA"
5333000,2010,Medium,46.3126873,-124.0267319,WA,Ilwaco,"Ilwaco, WA"
5333000,2011,Medium High,46.3126873,-124.0267319,WA,Ilwaco,"Ilwaco, WA"
5333000,2012,Medium High,46.31269,-124.02673,WA,Ilwaco,"Ilwaco, WA"
5333000,2013,Medium,46.3126873,-124.0267319,WA,Ilwaco,"Ilwaco, WA"
5333000,2014,Medium High,46.31269,-124.02673,WA,Ilwaco,"Ilwaco, WA"
5333000,2015,Medium High,46.31269,-124.02673,WA,Ilwaco,"Ilwaco, WA"
5333000,2016,Medium,46.3107646,-124.0410957,WA,Ilwaco,"Ilwaco, WA"
