year,index,timeseries
2000,0,Blue Whale
2001,0,Blue Whale
2002,0,Blue Whale
2003,0,Blue Whale
2004,0,Blue Whale
2005,0,Blue Whale
2006,0,Blue Whale
2007,0,Blue Whale
2008,0,Blue Whale
2009,0,Blue Whale
2010,0,Blue Whale
2011,0,Blue Whale
2012,0,Blue Whale
2013,0,Blue Whale
2014,0,Blue Whale
2015,1,Blue Whale
2016,3,Blue Whale
2017,3,Blue Whale
2018,0,Blue Whale
2019,0,Blue Whale
2020,0,Blue Whale
2021,0,Blue Whale
2022,0,Blue Whale
2023,0,Blue Whale
2024,0,Blue Whale
2000,6,Gray Whale
2001,0,Gray Whale
2002,3,Gray Whale
2003,5,Gray Whale
2004,7,Gray Whale
2005,6,Gray Whale
2006,3,Gray Whale
2007,5,Gray Whale
2008,0,Gray Whale
2009,4,Gray Whale
2010,6,Gray Whale
2011,2,Gray Whale
2012,11,Gray Whale
2013,10,Gray Whale
2014,6,Gray Whale
2015,10,Gray Whale
2016,3,Gray Whale
2017,12,Gray Whale
2018,11,Gray Whale
2019,8,Gray Whale
2020,6,Gray Whale
2021,4,Gray Whale
2022,10,Gray Whale
2023,9,Gray Whale
2024,4,Gray Whale
2000,3,Humpback Whale
2001,1,Humpback Whale
2002,0,Humpback Whale
2003,5,Humpback Whale
2004,3,Humpback Whale
2005,3,Humpback Whale
2006,5,Humpback Whale
2007,4,Humpback Whale
2008,4,Humpback Whale
2009,2,Humpback Whale
2010,7,Humpback Whale
2011,5,Humpback Whale
2012,3,Humpback Whale
2013,0,Humpback Whale
2014,16,Humpback Whale
2015,31,Humpback Whale
2016,48,Humpback Whale
2017,17,Humpback Whale
2018,34,Humpback Whale
2019,17,Humpback Whale
2020,10,Humpback Whale
2021,17,Humpback Whale
2022,18,Humpback Whale
2023,16,Humpback Whale
2024,29,Humpback Whale
2000,0,Fin Whale
2001,0,Fin Whale
2002,0,Fin Whale
2003,0,Fin Whale
2004,0,Fin Whale
2005,0,Fin Whale
2006,1,Fin Whale
2007,0,Fin Whale
2008,0,Fin Whale
2009,2,Fin Whale
2010,0,Fin Whale
2011,1,Fin Whale
2012,0,Fin Whale
2013,0,Fin Whale
2014,0,Fin Whale
2015,2,Fin Whale
2016,0,Fin Whale
2017,0,Fin Whale
2018,1,Fin Whale
2019,0,Fin Whale
2020,0,Fin Whale
2021,1,Fin Whale
2022,1,Fin Whale
2023,0,Fin Whale
2024,1,Fin Whale
2000,0,Killer Whale
2001,0,Killer Whale
2002,0,Killer Whale
2003,0,Killer Whale
2004,0,Killer Whale
2005,0,Killer Whale
2006,0,Killer Whale
2007,0,Killer Whale
2008,0,Killer Whale
2009,0,Killer Whale
2010,0,Killer Whale
2011,0,Killer Whale
2012,0,Killer Whale
2013,0,Killer Whale
2014,0,Killer Whale
2015,1,Killer Whale
2016,1,Killer Whale
2017,0,Killer Whale
2018,0,Killer Whale
2019,0,Killer Whale
2020,0,Killer Whale
2021,2,Killer Whale
2022,1,Killer Whale
2023,2,Killer Whale
2024,0,Killer Whale
2000,0,Minke Whale
2001,0,Minke Whale
2002,0,Minke Whale
2003,0,Minke Whale
2004,0,Minke Whale
2005,0,Minke Whale
2006,0,Minke Whale
2007,0,Minke Whale
2008,0,Minke Whale
2009,0,Minke Whale
2010,1,Minke Whale
2011,1,Minke Whale
2012,0,Minke Whale
2013,0,Minke Whale
2014,0,Minke Whale
2015,0,Minke Whale
2016,0,Minke Whale
2017,0,Minke Whale
2018,0,Minke Whale
2019,1,Minke Whale
2020,0,Minke Whale
2021,1,Minke Whale
2022,0,Minke Whale
2023,0,Minke Whale
2024,0,Minke Whale
2000,0,Sperm Whale
2001,0,Sperm Whale
2002,0,Sperm Whale
2003,0,Sperm Whale
2004,0,Sperm Whale
2005,0,Sperm Whale
2006,0,Sperm Whale
2007,0,Sperm Whale
2008,0,Sperm Whale
2009,0,Sperm Whale
2010,2,Sperm Whale
2011,0,Sperm Whale
2012,0,Sperm Whale
2013,0,Sperm Whale
2014,0,Sperm Whale
2015,0,Sperm Whale
2016,0,Sperm Whale
2017,0,Sperm Whale
2018,0,Sperm Whale
2019,0,Sperm Whale
2020,1,Sperm Whale
2021,0,Sperm Whale
2022,0,Sperm Whale
2023,0,Sperm Whale
2024,0,Sperm Whale
2000,0,Unidentified Whale
2001,0,Unidentified Whale
2002,0,Unidentified Whale
2003,0,Unidentified Whale
2004,0,Unidentified Whale
2005,1,Unidentified Whale
2006,0,Unidentified Whale
2007,2,Unidentified Whale
2008,2,Unidentified Whale
2009,0,Unidentified Whale
2010,0,Unidentified Whale
2011,0,Unidentified Whale
2012,0,Unidentified Whale
2013,1,Unidentified Whale
2014,1,Unidentified Whale
2015,8,Unidentified Whale
2016,0,Unidentified Whale
2017,0,Unidentified Whale
2018,0,Unidentified Whale
2019,0,Unidentified Whale
2020,0,Unidentified Whale
2021,2,Unidentified Whale
2022,0,Unidentified Whale
2023,0,Unidentified Whale
2024,0,Unidentified Whale
2000,0,Unidentified Other
2001,0,Unidentified Other
2002,0,Unidentified Other
2003,0,Unidentified Other
2004,0,Unidentified Other
2005,1,Unidentified Other
2006,1,Unidentified Other
2007,2,Unidentified Other
2008,2,Unidentified Other
2009,2,Unidentified Other
2010,3,Unidentified Other
2011,2,Unidentified Other
2012,0,Unidentified Other
2013,1,Unidentified Other
2014,1,Unidentified Other
2015,11,Unidentified Other
2016,1,Unidentified Other
2017,0,Unidentified Other
2018,1,Unidentified Other
2019,1,Unidentified Other
2020,1,Unidentified Other
2021,6,Unidentified Other
2022,2,Unidentified Other
2023,0,Unidentified Other
2024,0,Unidentified Other
2000,9,Grand Total
2001,1,Grand Total
2002,3,Grand Total
2003,10,Grand Total
2004,10,Grand Total
2005,10,Grand Total
2006,9,Grand Total
2007,11,Grand Total
2008,6,Grand Total
2009,8,Grand Total
2010,16,Grand Total
2011,9,Grand Total
2012,14,Grand Total
2013,11,Grand Total
2014,23,Grand Total
2015,53,Grand Total
2016,55,Grand Total
2017,32,Grand Total
2018,46,Grand Total
2019,26,Grand Total
2020,17,Grand Total
2021,27,Grand Total
2022,30,Grand Total
2023,27,Grand Total
2024,34,Grand Total